,Date,HomeTeam,AwayTeam
1628,23/10/1999,Chelsea,Arsenal
1764,12/02/2000,West Ham United,Bradford City
2173,25/02/2001,Manchester United,Arsenal
2345,29/09/2001,Tottenham Hotspur,Manchester United
2402,19/11/2001,Charlton Athletic,West Ham United
3271,07/02/2004,Everton,Manchester United
3348,09/04/2004,Arsenal,Liverpool
3655,22/01/2005,Norwich City,Middlesbrough
3660,01/02/2005,Arsenal,Manchester United
4530,28/04/2007,Everton,Manchester United
4631,29/09/2007,Portsmouth,Reading
4754,29/12/2007,Tottenham Hotspur,Reading
5266,21/04/2009,Liverpool,Arsenal
5273,25/04/2009,Manchester United,Tottenham Hotspur
5374,20/09/2009,Manchester United,Manchester City
5446,22/11/2009,Tottenham Hotspur,Wigan Athletic
5830,20/11/2010,Arsenal,Tottenham Hotspur
6105,28/08/2011,Manchester United,Arsenal
6167,23/10/2011,Manchester United,Manchester City
6169,29/10/2011,Chelsea,Arsenal
6336,26/02/2012,Arsenal,Tottenham Hotspur
6423,22/04/2012,Manchester United,Everton
6569,17/11/2012,Arsenal,Tottenham Hotspur
6837,19/05/2013,West Bromwich,Manchester United
7823,23/01/2016,Norwich City,Liverpool
7987,14/08/2016,Arsenal,Liverpool
8105,26/11/2016,Swansea City,Crystal Palace
